Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Age Class,Title,Is Alone,Total Peers
0,3,male,1,0,7.25,S,young adult,Mr,False,1
1,1,female,1,0,71.2833,C,old adult,Mrs,False,1
1,3,female,0,0,7.925,S,young adult,Miss,True,0
1,1,female,1,0,53.1,S,old adult,Mrs,False,1
0,3,male,0,0,8.05,S,old adult,Mr,True,0
0,3,male,0,0,8.4583,Q,retirement,Mr,True,0
0,1,male,0,0,51.8625,S,retirement,Mr,True,0
0,3,male,3,1,21.075,S,retirement,Master,False,4
1,3,female,0,2,11.1333,S,middle adult,Mrs,False,2
1,2,female,1,0,30.0708,C,children,Mrs,False,1
1,3,female,1,1,16.7,S,retirement,Miss,False,2
1,1,female,0,0,26.55,S,retirement,Miss,True,0
0,3,male,0,0,8.05,S,teenager,Mr,True,0
0,3,male,1,5,31.275,S,old adult,Mr,False,6
0,3,female,0,0,7.8542,S,children,Miss,True,0
1,2,female,0,0,16.0,S,retirement,Mrs,True,0
0,3,male,4,1,29.125,Q,retirement,Master,False,5
1,2,male,0,0,13.0,S,retirement,Mr,True,0
0,3,female,1,0,18.0,S,old adult,Mrs,False,1
1,3,female,0,0,7.225,C,retirement,Mrs,True,0
0,2,male,0,0,26.0,S,old adult,Mr,True,0
1,2,male,0,0,13.0,S,old adult,Mr,True,0
1,3,female,0,0,8.0292,Q,children,Miss,True,0
1,1,male,0,0,35.5,S,middle adult,Mr,True,0
0,3,female,3,1,21.075,S,children,Miss,False,4
1,3,female,1,5,31.3875,S,old adult,Mrs,False,6
0,3,male,0,0,7.225,C,retirement,Mr,True,0
0,1,male,3,2,263.0,S,teenager,Mr,False,5
1,3,female,0,0,7.8792,Q,retirement,Miss,True,0
0,3,male,0,0,7.8958,S,retirement,Mr,True,0
0,1,male,0,0,27.7208,C,old adult,Other,True,0
1,1,female,1,0,146.5208,C,retirement,Mrs,False,1
1,3,female,0,0,7.75,Q,retirement,Miss,True,0
0,2,male,0,0,10.5,S,retirement,Mr,True,0
0,1,male,1,0,82.1708,C,middle adult,Mr,False,1
0,1,male,1,0,52.0,S,old adult,Mr,False,1
1,3,male,0,0,7.2292,C,retirement,Mr,True,0
0,3,male,0,0,8.05,S,teenager,Mr,True,0
0,3,female,2,0,18.0,S,teenager,Miss,False,2
1,3,female,1,0,11.2417,C,children,Miss,False,1
0,3,female,1,0,9.475,S,old adult,Mrs,False,1
0,2,female,1,0,21.0,S,middle adult,Mrs,False,1
0,3,male,0,0,7.8958,C,retirement,Mr,True,0
1,2,female,1,2,41.5792,C,retirement,Miss,False,3
1,3,female,0,0,7.8792,Q,teenager,Miss,True,0
0,3,male,0,0,8.05,S,retirement,Mr,True,0
0,3,male,1,0,15.5,Q,retirement,Mr,False,1
1,3,female,0,0,7.75,Q,retirement,Miss,True,0
0,3,male,2,0,21.6792,C,retirement,Mr,False,2
0,3,female,1,0,17.8,S,teenager,Mrs,False,1
0,3,male,4,1,39.6875,S,children,Master,False,5
0,3,male,0,0,7.8,S,teenager,Mr,True,0
1,1,female,1,0,76.7292,C,retirement,Mrs,False,1
1,2,female,1,0,26.0,S,middle adult,Mrs,False,1
0,1,male,0,1,61.9792,C,retirement,Mr,False,1
1,1,male,0,0,35.5,S,retirement,Mr,True,0
1,2,female,0,0,10.5,S,teenager,Miss,True,0
0,3,male,0,0,7.2292,C,middle adult,Mr,True,0
1,2,female,1,2,27.75,S,retirement,Miss,False,3
0,3,male,5,2,46.9,S,children,Master,False,7
0,3,male,0,0,7.2292,C,young adult,Mr,True,0
1,1,female,0,0,80.0,,old adult,Miss,True,0
0,1,male,1,0,83.475,S,old adult,Mr,False,1
0,3,male,3,2,27.9,S,retirement,Master,False,5
0,1,male,0,0,27.7208,C,retirement,Mr,True,0
1,3,male,1,1,15.2458,C,retirement,Master,False,2
1,2,female,0,0,10.5,S,middle adult,Mrs,True,0
0,3,male,0,0,8.1583,S,teenager,Mr,True,0
1,3,female,4,2,7.925,S,children,Miss,False,6
0,3,male,2,0,8.6625,S,young adult,Mr,False,2
0,2,male,0,0,10.5,S,old adult,Mr,True,0
0,3,female,5,2,46.9,S,children,Miss,False,7
0,2,male,0,0,73.5,S,teenager,Mr,True,0
0,3,male,1,0,14.4542,C,young adult,Mr,False,1
1,3,male,0,0,56.4958,S,old adult,Mr,True,0
0,3,male,0,0,7.65,S,young adult,Mr,True,0
0,3,male,0,0,7.8958,S,retirement,Mr,True,0
0,3,male,0,0,8.05,S,retirement,Mr,True,0
1,2,male,0,2,29.0,S,retirement,Master,False,2
1,3,female,0,0,12.475,S,middle adult,Miss,True,0
0,3,male,0,0,9.0,S,young adult,Mr,True,0
1,3,male,0,0,9.5,S,middle adult,Mr,True,0
1,3,female,0,0,7.7875,Q,retirement,Miss,True,0
0,1,male,0,0,47.1,S,middle adult,Mr,True,0
1,2,female,0,0,10.5,S,children,Miss,True,0
1,3,female,3,0,15.85,S,old adult,Mrs,False,3
0,3,male,1,3,34.375,S,children,Mr,False,4
0,3,male,0,0,8.05,S,retirement,Mr,True,0
1,1,female,3,2,263.0,S,young adult,Miss,False,5
0,3,male,0,0,8.05,S,young adult,Mr,True,0
0,3,male,0,0,8.05,S,middle adult,Mr,True,0
0,3,male,0,0,7.8542,S,teenager,Mr,True,0
0,1,male,1,0,61.175,S,old adult,Mr,False,1
0,3,male,1,2,20.575,S,young adult,Mr,False,3
0,3,male,0,0,7.25,S,retirement,Mr,True,0
0,3,male,0,0,8.05,S,retirement,Mr,True,0
0,1,male,0,0,34.6542,C,retirement,Mr,True,0
1,1,male,0,1,63.3583,C,young adult,Mr,False,1
1,2,female,0,1,23.0,S,old adult,Mrs,False,1
0,2,male,1,0,26.0,S,old adult,Mr,False,1
0,3,female,0,0,7.8958,S,middle adult,Miss,True,0
0,3,male,0,0,7.8958,S,retirement,Mr,True,0
0,1,male,0,1,77.2875,S,teenager,Mr,False,1
0,3,male,0,0,8.6542,S,old adult,Mr,True,0
0,3,male,2,0,7.925,S,old adult,Mr,False,2
0,3,male,0,0,7.8958,S,middle adult,Mr,True,0
1,3,female,0,0,7.65,S,teenager,Miss,True,0
1,3,male,0,0,7.775,S,retirement,Mr,True,0
0,3,male,0,0,7.8958,S,old adult,Mr,True,0
1,3,female,1,0,24.15,Q,retirement,Miss,False,1
0,1,male,0,0,52.0,S,old adult,Mr,True,0
0,3,female,1,0,14.4542,C,children,Miss,False,1
0,3,male,0,0,8.05,S,young adult,Mr,True,0
0,3,female,1,0,9.825,S,teenager,Miss,False,1
0,3,female,0,0,14.4583,C,children,Miss,True,0
0,3,male,0,0,7.925,S,teenager,Mr,True,0
0,3,male,0,0,7.75,Q,retirement,Mr,True,0
0,2,male,1,0,21.0,S,middle adult,Mr,False,1
0,1,male,0,1,247.5208,C,young adult,Mr,False,1
0,3,female,4,2,31.275,S,retirement,Miss,False,6
0,2,male,2,0,73.5,S,teenager,Mr,False,2
0,3,male,0,0,8.05,S,retirement,Mr,True,0
0,2,male,1,0,30.0708,C,old adult,Mr,False,1
1,2,female,0,0,13.0,S,old adult,Miss,True,0
0,1,male,0,1,77.2875,S,retirement,Mr,False,1
1,3,male,1,0,11.2417,C,children,Master,False,1
0,3,male,0,0,7.75,Q,retirement,Mr,True,0
1,3,male,0,0,7.1417,S,young adult,Mr,True,0
1,3,female,1,1,22.3583,C,retirement,Miss,False,2
